Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w1]  #274  1-0     Treasure checkmated or captured     289 plies   12.4s  (291/300)
  [w0]  #289  0-1     Party extinct                       270 plies   11.7s  (292/300)
  [w1]  #278  0-1     Party extinct                       216 plies    9.4s  (293/300)
  [w0]  #293  1-0     Treasure checkmated or captured       1 plies    0.4s  (294/300)
  [w1]  #282  1-0     Treasure checkmated or captured      33 plies    1.7s  (295/300)
  [w0]  #297  1-0     Treasure checkmated or captured     157 plies    6.9s  (296/300)
  [w1]  #286  0-1     Party extinct                       126 plies    5.6s  (297/300)
  [w1]  #290  0-1     Party has no legal response          68 plies    3.2s  (298/300)
  [w1]  #294  1-0     Treasure checkmated or captured     211 plies    9.3s  (299/300)
  [w1]  #298  1-0     Treasure checkmated or captured     367 plies   15.8s  (300/300)

========================================================
  Rule set    : v7-d8-spsa-base-best
  Games       : 300
--------------------------------------------------------
  Party wins  :  124  ( 41.3%)
  Horde wins  :  153  ( 51.0%)
  Unfinished  :   23  (  7.7%)
--------------------------------------------------------
  Decisive      :  92.3%
  Party(decisive):  44.8%   95% CI [ 39.0% ..  50.7%]
  Imbalance     :  10.5%   (0% = perfectly balanced decisive games)
  Median plies  : 187  (decisive games)

  COMPOSITE SCORE : 0.827   (1.0 = balanced & decisive)
========================================================
  total time : 806.5s  (2.69s / game, 4x)
  pgn        : reports/v7-overnight/confirm-best.pgn
